Test_Cell_ID,Lifecycle_Stage,Cycle_Number,State_of_Health_SOH,Series_Resist_R0_Ohm,Charge_Transfer_R1_Ohm,Double_Layer_Cap_C1_Farad,Time_Constant_Tau_Sec,System_Pole_sP_rad_s,System_Zero_sZ_rad_s,Steady_State_DC_Gain_Ohm,Pole_Distance_to_Instability_rad_s
2017-05-12_cell_12,Early Life,120,0.9878,0.01647,0.01964,413.31,8.1168,-0.1232,-0.27013,0.0361,0.1232
2017-05-12_cell_12,Early Life,125,0.9871,0.01648,0.01968,412.98,8.1266,-0.12305,-0.27,0.03616,0.12305
2017-05-12_cell_12,Early Life,130,0.9865,0.01649,0.01972,412.62,8.1368,-0.1229,-0.26987,0.03621,0.1229
2017-05-12_cell_12,Early Life,135,0.9858,0.0165,0.01976,412.27,8.1469,-0.12275,-0.26974,0.03626,0.12275
2017-05-12_cell_12,Early Life,140,0.9851,0.01652,0.01981,411.87,8.1578,-0.12258,-0.26959,0.03632,0.12258
2017-05-12_cell_12,Early Life,145,0.9844,0.01653,0.01985,411.53,8.1676,-0.12243,-0.26946,0.03637,0.12243
2017-05-12_cell_12,Early Life,150,0.9837,0.01654,0.01989,411.18,8.1777,-0.12228,-0.26933,0.03643,0.12228
2017-05-12_cell_12,Early Life,155,0.983,0.01655,0.01993,410.78,8.1888,-0.12212,-0.26919,0.03649,0.12212
2017-05-12_cell_12,Early Life,160,0.9823,0.01656,0.01998,410.44,8.1987,-0.12197,-0.26906,0.03654,0.12197
2017-05-12_cell_12,Early Life,165,0.9816,0.01658,0.02002,410.03,8.2098,-0.12181,-0.26892,0.0366,0.12181
2017-05-12_cell_12,Early Life,170,0.9808,0.01659,0.02006,409.69,8.2198,-0.12166,-0.26879,0.03665,0.12166
2017-05-12_cell_12,Early Life,175,0.9801,0.0166,0.02011,409.29,8.2307,-0.1215,-0.26865,0.03671,0.1215
2017-05-12_cell_12,Early Life,180,0.9793,0.01662,0.02016,408.87,8.2421,-0.12133,-0.26851,0.03678,0.12133
2017-05-12_cell_12,Early Life,185,0.9786,0.01663,0.02021,408.47,8.2531,-0.12117,-0.26837,0.03684,0.12117
2017-05-12_cell_12,Early Life,190,0.9778,0.01664,0.02025,408.08,8.2638,-0.12101,-0.26823,0.03689,0.12101
2017-05-12_cell_12,Early Life,195,0.9771,0.01666,0.0203,407.69,8.2747,-0.12085,-0.2681,0.03695,0.12085
2017-05-12_cell_12,Early Life,200,0.9763,0.01667,0.02034,407.29,8.2856,-0.12069,-0.26796,0.03701,0.12069
2017-05-12_cell_12,Early Life,205,0.9755,0.01668,0.02039,406.92,8.2962,-0.12054,-0.26783,0.03707,0.12054
2017-05-12_cell_12,Mid Life,210,0.9748,0.0167,0.02044,406.49,8.3076,-0.12037,-0.26769,0.03714,0.12037
2017-05-12_cell_12,Mid Life,215,0.974,0.01671,0.02049,406.07,8.3188,-0.12021,-0.26756,0.0372,0.12021
2017-05-12_cell_12,Mid Life,220,0.9732,0.01673,0.02054,405.62,8.3307,-0.12004,-0.26741,0.03727,0.12004
2017-05-12_cell_12,Mid Life,225,0.9724,0.01674,0.02059,405.22,8.3416,-0.11988,-0.26728,0.03733,0.11988
2017-05-12_cell_12,Mid Life,230,0.9716,0.01675,0.02063,404.86,8.3518,-0.11973,-0.26716,0.03738,0.11973
2017-05-12_cell_12,Mid Life,235,0.9708,0.01677,0.02068,404.38,8.3641,-0.11956,-0.26701,0.03745,0.11956
2017-05-12_cell_12,Mid Life,240,0.97,0.01678,0.02073,403.97,8.3751,-0.1194,-0.26688,0.03752,0.1194
2017-05-12_cell_12,Mid Life,245,0.9692,0.0168,0.02078,403.56,8.3862,-0.11924,-0.26675,0.03758,0.11924
2017-05-12_cell_12,Mid Life,250,0.9683,0.01682,0.02084,403.08,8.3983,-0.11907,-0.26661,0.03765,0.11907
2017-05-12_cell_12,Mid Life,255,0.9675,0.01683,0.02089,402.63,8.4099,-0.11891,-0.26648,0.03772,0.11891
2017-05-12_cell_12,Mid Life,260,0.9667,0.01685,0.02094,402.2,8.4212,-0.11875,-0.26635,0.03778,0.11875
2017-05-12_cell_12,Mid Life,265,0.9658,0.01686,0.02098,401.83,8.4317,-0.1186,-0.26623,0.03784,0.1186
2017-05-12_cell_12,Mid Life,270,0.965,0.01687,0.02104,401.37,8.4435,-0.11843,-0.26609,0.03791,0.11843
2017-05-12_cell_12,Mid Life,275,0.9642,0.01689,0.02109,400.9,8.4553,-0.11827,-0.26596,0.03798,0.11827
2017-05-12_cell_12,Mid Life,280,0.9633,0.01691,0.02115,400.43,8.4671,-0.1181,-0.26583,0.03805,0.1181
2017-05-12_cell_12,Mid Life,285,0.9625,0.01692,0.02119,400.04,8.4778,-0.11796,-0.26571,0.03811,0.11796
2017-05-12_cell_12,Mid Life,290,0.9616,0.01693,0.02125,399.57,8.4895,-0.11779,-0.26558,0.03818,0.11779
2017-05-12_cell_12,Mid Life,295,0.9607,0.01695,0.0213,399.16,8.5005,-0.11764,-0.26546,0.03824,0.11764
2017-05-12_cell_12,Mid Life,300,0.9599,0.01696,0.02135,398.71,8.5119,-0.11748,-0.26533,0.03831,0.11748
2017-05-12_cell_12,Mid Life,305,0.959,0.01698,0.02141,398.17,8.5247,-0.11731,-0.26519,0.03839,0.11731
2017-05-12_cell_12,Mid Life,310,0.9581,0.017,0.02147,397.68,8.5366,-0.11714,-0.26507,0.03847,0.11714
2017-05-12_cell_12,Mid Life,315,0.9572,0.01701,0.02151,397.28,8.5473,-0.117,-0.26495,0.03853,0.117
2017-05-12_cell_12,Mid Life,320,0.9564,0.01703,0.02157,396.77,8.5595,-0.11683,-0.26482,0.0386,0.11683
2017-05-12_cell_12,Mid Life,325,0.9555,0.01704,0.02162,396.33,8.5707,-0.11668,-0.2647,0.03867,0.11668
2017-05-12_cell_12,Mid Life,330,0.9546,0.01706,0.02168,395.91,8.5816,-0.11653,-0.26459,0.03873,0.11653
2017-05-12_cell_12,Mid Life,335,0.9537,0.01708,0.02173,395.39,8.5938,-0.11636,-0.26446,0.03881,0.11636
2017-05-12_cell_12,Mid Life,340,0.9528,0.0171,0.0218,394.86,8.6062,-0.1162,-0.26434,0.03889,0.1162
2017-05-12_cell_12,Mid Life,345,0.9519,0.01711,0.02184,394.47,8.6167,-0.11605,-0.26423,0.03895,0.11605
2017-05-12_cell_12,Mid Life,350,0.951,0.01713,0.02191,393.91,8.6294,-0.11588,-0.2641,0.03904,0.11588
2017-05-12_cell_12,Mid Life,355,0.95,0.01714,0.02194,393.65,8.638,-0.11577,-0.26402,0.03908,0.11577
2017-05-12_cell_12,Mid Life,360,0.9491,0.01716,0.02202,392.98,8.652,-0.11558,-0.26388,0.03918,0.11558
2017-05-12_cell_12,Mid Life,365,0.9482,0.01717,0.02207,392.54,8.663,-0.11543,-0.26377,0.03924,0.11543
2017-05-12_cell_12,Mid Life,370,0.9473,0.01719,0.02212,392.08,8.6743,-0.11528,-0.26366,0.03931,0.11528
2017-05-12_cell_12,Mid Life,375,0.9464,0.01721,0.02218,391.57,8.6861,-0.11513,-0.26354,0.03939,0.11513
2017-05-12_cell_12,Mid Life,380,0.9454,0.01722,0.02223,391.2,8.6961,-0.11499,-0.26345,0.03945,0.11499
2017-05-12_cell_12,Mid Life,385,0.9445,0.01724,0.0223,390.61,8.7089,-0.11483,-0.26332,0.03954,0.11483
2017-05-12_cell_12,Mid Life,390,0.9436,0.01726,0.02236,390.08,8.7208,-0.11467,-0.26321,0.03961,0.11467
2017-05-12_cell_12,Mid Life,395,0.9426,0.01728,0.02242,389.52,8.7332,-0.11451,-0.2631,0.0397,0.11451
2017-05-12_cell_12,Mid Life,400,0.9417,0.01729,0.02247,389.14,8.7431,-0.11438,-0.263,0.03976,0.11438
2017-05-12_cell_12,Mid Life,405,0.9407,0.01731,0.02252,388.66,8.7544,-0.11423,-0.2629,0.03983,0.11423
2017-05-12_cell_12,Mid Life,410,0.9398,0.01732,0.02258,388.14,8.766,-0.11408,-0.26279,0.03991,0.11408
2017-05-12_cell_12,Mid Life,415,0.9388,0.01734,0.02265,387.55,8.7786,-0.11391,-0.26268,0.04,0.11391
2017-05-12_cell_12,Mid Life,420,0.9378,0.01736,0.02271,387.09,8.7895,-0.11377,-0.26258,0.04007,0.11377
2017-05-12_cell_12,Mid Life,425,0.9369,0.01738,0.02276,386.64,8.8002,-0.11363,-0.26249,0.04014,0.11363
2017-05-12_cell_12,Mid Life,430,0.9359,0.0174,0.02283,386.06,8.8125,-0.11348,-0.26238,0.04022,0.11348
2017-05-12_cell_12,Mid Life,435,0.9349,0.01741,0.02288,385.58,8.8235,-0.11333,-0.26229,0.0403,0.11333
2017-05-12_cell_12,Mid Life,440,0.934,0.01743,0.02295,385.01,8.8355,-0.11318,-0.26219,0.04038,0.11318
2017-05-12_cell_12,Mid Life,445,0.933,0.01744,0.023,384.61,8.8455,-0.11305,-0.2621,0.04044,0.11305
2017-05-12_cell_12,Mid Life,450,0.932,0.01746,0.02306,384.07,8.857,-0.1129,-0.26201,0.04052,0.1129
2017-05-12_cell_12,Mid Life,455,0.931,0.01748,0.02312,383.56,8.8682,-0.11276,-0.26191,0.0406,0.11276
2017-05-12_cell_12,Mid Life,460,0.93,0.01749,0.02317,383.12,8.8786,-0.11263,-0.26183,0.04067,0.11263
2017-05-12_cell_12,Mid Life,465,0.9291,0.01752,0.02325,382.47,8.8913,-0.11247,-0.26173,0.04076,0.11247
2017-05-12_cell_12,Mid Life,470,0.9281,0.01753,0.02331,381.95,8.9024,-0.11233,-0.26164,0.04084,0.11233
2017-05-12_cell_12,Mid Life,475,0.9271,0.01755,0.02337,381.45,8.9133,-0.11219,-0.26155,0.04092,0.11219
2017-05-12_cell_12,Mid Life,480,0.9261,0.01757,0.02343,380.94,8.9243,-0.11205,-0.26147,0.041,0.11205
2017-05-12_cell_12,Mid Life,485,0.9251,0.01758,0.02348,380.51,8.9344,-0.11193,-0.26139,0.04106,0.11193
2017-05-12_cell_12,Mid Life,490,0.9241,0.0176,0.02355,379.9,8.9463,-0.11178,-0.2613,0.04115,0.11178
2017-05-12_cell_12,Mid Life,495,0.923,0.01762,0.02361,379.37,8.9574,-0.11164,-0.26122,0.04123,0.11164
2017-05-12_cell_12,Mid Life,500,0.922,0.01764,0.02367,378.88,8.968,-0.11151,-0.26114,0.04131,0.11151
2017-05-12_cell_12,Mid Life,505,0.921,0.01766,0.02374,378.29,8.9795,-0.11137,-0.26106,0.0414,0.11137
2017-05-12_cell_12,Mid Life,510,0.92,0.01768,0.0238,377.71,8.9909,-0.11122,-0.26098,0.04148,0.11122
2017-05-12_cell_12,Mid Life,515,0.919,0.0177,0.02388,377.05,9.003,-0.11107,-0.26089,0.04158,0.11107
2017-05-12_cell_12,Mid Life,520,0.918,0.01772,0.02393,376.66,9.0124,-0.11096,-0.26082,0.04164,0.11096
2017-05-12_cell_12,Mid Life,525,0.9169,0.01773,0.02399,376.11,9.0233,-0.11082,-0.26075,0.04173,0.11082
2017-05-12_cell_12,Mid Life,530,0.9159,0.01775,0.02405,375.6,9.0338,-0.11069,-0.26068,0.0418,0.11069
2017-05-12_cell_12,Mid Life,535,0.9149,0.01776,0.0241,375.22,9.043,-0.11058,-0.26062,0.04186,0.11058
2017-05-12_cell_12,Mid Life,540,0.9138,0.01779,0.02418,374.51,9.0553,-0.11043,-0.26054,0.04197,0.11043
2017-05-12_cell_12,Mid Life,545,0.9128,0.01781,0.02424,373.96,9.0661,-0.1103,-0.26047,0.04205,0.1103
2017-05-12_cell_12,Mid Life,550,0.9117,0.01783,0.02433,373.19,9.0788,-0.11015,-0.2604,0.04216,0.11015
2017-05-12_cell_12,Mid Life,555,0.9107,0.01784,0.02437,372.89,9.0871,-0.11005,-0.26034,0.04221,0.11005
2017-05-12_cell_12,Mid Life,560,0.9097,0.01786,0.02444,372.29,9.098,-0.10991,-0.26028,0.0423,0.10991
2017-05-12_cell_12,Mid Life,565,0.9086,0.01788,0.0245,371.77,9.1083,-0.10979,-0.26021,0.04238,0.10979
2017-05-12_cell_12,Mid Life,570,0.9076,0.0179,0.02455,371.33,9.1177,-0.10968,-0.26016,0.04245,0.10968
2017-05-12_cell_12,Mid Life,575,0.9065,0.01792,0.02464,370.55,9.1301,-0.10953,-0.26009,0.04256,0.10953
2017-05-12_cell_12,Mid Life,580,0.9054,0.01794,0.0247,370.03,9.1402,-0.10941,-0.26004,0.04264,0.10941
2017-05-12_cell_12,Mid Life,585,0.9044,0.01796,0.02477,369.47,9.1505,-0.10928,-0.25998,0.04273,0.10928
2017-05-12_cell_12,Mid Life,590,0.9033,0.01797,0.02482,369.08,9.1594,-0.10918,-0.25993,0.04279,0.10918
2017-05-12_cell_12,Mid Life,595,0.9022,0.018,0.0249,368.29,9.1716,-0.10903,-0.25987,0.0429,0.10903
2017-05-12_cell_12,Mid Life,600,0.9012,0.01801,0.02494,368.02,9.1794,-0.10894,-0.25982,0.04295,0.10894
2017-05-12_cell_12,Mid Life,605,0.9001,0.01804,0.02503,367.25,9.1912,-0.1088,-0.25977,0.04306,0.1088
2017-05-12_cell_12,Mid Life,610,0.899,0.01806,0.02511,366.51,9.2026,-0.10866,-0.25972,0.04317,0.10866
2017-05-12_cell_12,Mid Life,615,0.898,0.01807,0.02514,366.29,9.21,-0.10858,-0.25968,0.04321,0.10858
2017-05-12_cell_12,Mid Life,620,0.8969,0.01809,0.02521,365.67,9.2203,-0.10846,-0.25963,0.0433,0.10846
2017-05-12_cell_12,Mid Life,625,0.8958,0.01811,0.02529,365.03,9.2308,-0.10833,-0.25959,0.0434,0.10833
2017-05-12_cell_12,Mid Life,630,0.8947,0.01813,0.02535,364.53,9.2402,-0.10822,-0.25955,0.04348,0.10822
2017-05-12_cell_12,Mid Life,635,0.8936,0.01814,0.0254,364.08,9.2492,-0.10812,-0.25951,0.04355,0.10812
2017-05-12_cell_12,Mid Life,640,0.8925,0.01817,0.02549,363.32,9.2603,-0.10799,-0.25947,0.04366,0.10799
2017-05-12_cell_12,Mid Life,645,0.8914,0.01818,0.02554,362.88,9.2691,-0.10789,-0.25943,0.04373,0.10789
2017-05-12_cell_12,Mid Life,650,0.8903,0.01821,0.02563,362.13,9.28,-0.10776,-0.2594,0.04384,0.10776
2017-05-12_cell_12,Mid Life,655,0.8892,0.01822,0.02568,361.72,9.2885,-0.10766,-0.25936,0.0439,0.10766
2017-05-12_cell_12,Mid Life,660,0.8881,0.01825,0.02577,360.85,9.3,-0.10753,-0.25934,0.04403,0.10753
2017-05-12_cell_12,Mid Life,665,0.887,0.01826,0.02582,360.55,9.3077,-0.10744,-0.2593,0.04408,0.10744
2017-05-12_cell_12,Mid Life,670,0.8859,0.01829,0.02589,359.91,9.3175,-0.10733,-0.25927,0.04417,0.10733
2017-05-12_cell_12,Mid Life,675,0.8848,0.01831,0.02597,359.19,9.3278,-0.10721,-0.25925,0.04428,0.10721
2017-05-12_cell_12,Mid Life,680,0.8837,0.01832,0.02601,358.86,9.3355,-0.10712,-0.25922,0.04434,0.10712
2017-05-12_cell_12,Mid Life,685,0.8826,0.01835,0.0261,358.1,9.3459,-0.107,-0.2592,0.04445,0.107
2017-05-12_cell_12,Mid Life,690,0.8815,0.01837,0.02618,357.38,9.3559,-0.10688,-0.25918,0.04455,0.10688
2017-05-12_cell_12,Mid Life,695,0.8804,0.01838,0.02622,357.16,9.3629,-0.1068,-0.25915,0.04459,0.1068
2017-05-12_cell_12,Mid Life,700,0.8793,0.01841,0.0263,356.34,9.3733,-0.10669,-0.25914,0.04471,0.10669
2017-05-12_cell_12,Mid Life,705,0.8781,0.01843,0.02637,355.74,9.3824,-0.10658,-0.25912,0.0448,0.10658
2017-05-12_cell_12,Mid Life,710,0.877,0.01845,0.02645,355.09,9.3917,-0.10648,-0.25911,0.0449,0.10648
2017-05-12_cell_12,Mid Life,715,0.8759,0.01846,0.02649,354.76,9.3992,-0.10639,-0.25909,0.04496,0.10639
2017-05-12_cell_12,Mid Life,720,0.8747,0.01848,0.02656,354.18,9.408,-0.10629,-0.25907,0.04504,0.10629
2017-05-12_cell_12,Mid Life,725,0.8736,0.01851,0.02665,353.34,9.418,-0.10618,-0.25908,0.04516,0.10618
2017-05-12_cell_12,Mid Life,730,0.8725,0.01853,0.02672,352.77,9.4266,-0.10608,-0.25907,0.04525,0.10608
2017-05-12_cell_12,Mid Life,735,0.8713,0.01855,0.02679,352.18,9.4352,-0.10599,-0.25906,0.04534,0.10599
2017-05-12_cell_12,Mid Life,740,0.8702,0.01857,0.02686,351.57,9.4438,-0.10589,-0.25906,0.04543,0.10589
2017-05-12_cell_12,Mid Life,745,0.8691,0.01858,0.02692,351.12,9.4517,-0.1058,-0.25905,0.0455,0.1058
2017-05-12_cell_12,Mid Life,750,0.8679,0.01861,0.027,350.39,9.4607,-0.1057,-0.25905,0.04561,0.1057
2017-05-12_cell_12,Mid Life,755,0.8668,0.01863,0.02707,349.78,9.4691,-0.10561,-0.25906,0.0457,0.10561
2017-05-12_cell_12,Mid Life,760,0.8656,0.01865,0.02713,349.32,9.4768,-0.10552,-0.25905,0.04578,0.10552
2017-05-12_cell_12,Mid Life,765,0.8645,0.01868,0.02723,348.35,9.4866,-0.10541,-0.25908,0.04591,0.10541
2017-05-12_cell_12,Mid Life,770,0.8633,0.01869,0.02729,347.94,9.4939,-0.10533,-0.25907,0.04598,0.10533
2017-05-12_cell_12,Mid Life,775,0.8622,0.01871,0.02734,347.58,9.5011,-0.10525,-0.25906,0.04604,0.10525
2017-05-12_cell_12,Mid Life,780,0.861,0.01874,0.02743,346.7,9.5102,-0.10515,-0.25909,0.04617,0.10515
2017-05-12_cell_12,Mid Life,785,0.8599,0.01875,0.02748,346.33,9.5172,-0.10507,-0.25909,0.04623,0.10507
2017-05-12_cell_12,Mid Life,790,0.8587,0.01878,0.02757,345.46,9.5261,-0.10498,-0.25912,0.04635,0.10498
2017-05-12_cell_12,Mid Life,795,0.8575,0.0188,0.02765,344.8,9.5341,-0.10489,-0.25914,0.04645,0.10489
2017-05-12_cell_12,Mid Life,800,0.8564,0.01881,0.0277,344.48,9.5408,-0.10481,-0.25913,0.04651,0.10481
2017-05-12_cell_12,Mid Life,805,0.8552,0.01884,0.02779,343.6,9.5493,-0.10472,-0.25918,0.04663,0.10472
2017-05-12_cell_12,Mid Life,810,0.854,0.01886,0.02786,343.07,9.5567,-0.10464,-0.25919,0.04672,0.10464
2017-05-12_cell_12,Mid Life,815,0.8529,0.01888,0.02793,342.39,9.5644,-0.10455,-0.25922,0.04682,0.10455
2017-05-12_cell_12,Mid Life,820,0.8517,0.01891,0.02802,341.6,9.5723,-0.10447,-0.25927,0.04693,0.10447
2017-05-12_cell_12,Mid Life,825,0.8505,0.01892,0.02806,341.32,9.5787,-0.1044,-0.25926,0.04698,0.1044
2017-05-12_cell_12,End of Life,830,0.8493,0.01894,0.02813,340.78,9.5858,-0.10432,-0.25928,0.04707,0.10432
2017-05-12_cell_12,End of Life,835,0.8481,0.01896,0.0282,340.19,9.593,-0.10424,-0.25931,0.04716,0.10424
2017-05-12_cell_12,End of Life,840,0.847,0.01898,0.02827,339.55,9.6002,-0.10416,-0.25934,0.04725,0.10416
2017-05-12_cell_12,End of Life,845,0.8458,0.019,0.02836,338.81,9.6075,-0.10409,-0.25939,0.04736,0.10409
2017-05-12_cell_12,End of Life,850,0.8446,0.01903,0.02844,338.12,9.6146,-0.10401,-0.25944,0.04746,0.10401
2017-05-12_cell_12,End of Life,855,0.8434,0.01905,0.02851,337.51,9.6215,-0.10393,-0.25947,0.04756,0.10393
2017-05-12_cell_12,End of Life,860,0.8422,0.01907,0.02859,336.79,9.6285,-0.10386,-0.25953,0.04766,0.10386
2017-05-12_cell_12,End of Life,865,0.841,0.01909,0.02865,336.3,9.635,-0.10379,-0.25955,0.04774,0.10379
2017-05-12_cell_12,End of Life,870,0.8398,0.01912,0.02875,335.43,9.642,-0.10371,-0.25963,0.04787,0.10371
2017-05-12_cell_12,End of Life,875,0.8386,0.01913,0.02879,335.09,9.6482,-0.10365,-0.25964,0.04792,0.10365
2017-05-12_cell_12,End of Life,880,0.8374,0.01917,0.02891,333.95,9.6553,-0.10357,-0.25976,0.04808,0.10357
2017-05-12_cell_12,End of Life,885,0.8362,0.01918,0.02895,333.68,9.6613,-0.10351,-0.25976,0.04813,0.10351
2017-05-12_cell_12,End of Life,890,0.835,0.01919,0.029,333.3,9.6674,-0.10344,-0.25977,0.0482,0.10344
2017-05-12_cell_12,End of Life,895,0.8338,0.01921,0.02908,332.71,9.6736,-0.10337,-0.25982,0.04829,0.10337
2017-05-12_cell_12,End of Life,900,0.8326,0.01924,0.02917,331.8,9.68,-0.10331,-0.25992,0.04842,0.10331
2017-05-12_cell_12,End of Life,905,0.8314,0.01926,0.02924,331.29,9.686,-0.10324,-0.25996,0.0485,0.10324
2017-05-12_cell_12,End of Life,910,0.8302,0.01929,0.02933,330.49,9.6921,-0.10318,-0.26005,0.04862,0.10318
2017-05-12_cell_12,End of Life,915,0.829,0.01931,0.0294,329.9,9.698,-0.10311,-0.2601,0.04871,0.10311
2017-05-12_cell_12,End of Life,920,0.8277,0.01933,0.02946,329.36,9.7038,-0.10305,-0.26015,0.04879,0.10305
2017-05-12_cell_12,End of Life,925,0.8265,0.01934,0.02953,328.86,9.7096,-0.10299,-0.2602,0.04887,0.10299
2017-05-12_cell_12,End of Life,930,0.8253,0.01936,0.02959,328.34,9.7153,-0.10293,-0.26025,0.04895,0.10293
2017-05-12_cell_12,End of Life,935,0.8241,0.01939,0.02968,327.51,9.7208,-0.10287,-0.26035,0.04907,0.10287
2017-05-12_cell_12,End of Life,940,0.8229,0.01942,0.02978,326.62,9.7262,-0.10281,-0.26046,0.0492,0.10281
2017-05-12_cell_12,End of Life,945,0.8216,0.01944,0.02984,326.1,9.7317,-0.10276,-0.26052,0.04928,0.10276
2017-05-12_cell_12,End of Life,950,0.8204,0.01945,0.02989,325.73,9.7372,-0.1027,-0.26055,0.04934,0.1027
2017-05-12_cell_12,End of Life,955,0.8192,0.01948,0.02999,324.82,9.7422,-0.10265,-0.26068,0.04947,0.10265
2017-05-12_cell_12,End of Life,960,0.8179,0.01951,0.03007,324.13,9.7473,-0.10259,-0.26077,0.04958,0.10259
2017-05-12_cell_12,End of Life,965,0.8167,0.01952,0.03013,323.72,9.7526,-0.10254,-0.26081,0.04964,0.10254
2017-05-12_cell_12,End of Life,970,0.8155,0.01955,0.03022,322.88,9.7573,-0.10249,-0.26093,0.04977,0.10249
2017-05-12_cell_12,End of Life,975,0.8142,0.01957,0.03029,322.25,9.7622,-0.10244,-0.26101,0.04986,0.10244
2017-05-12_cell_12,End of Life,980,0.813,0.01958,0.03035,321.83,9.7673,-0.10238,-0.26106,0.04993,0.10238
2017-05-12_cell_12,End of Life,985,0.8118,0.01962,0.03045,320.89,9.7716,-0.10234,-0.26121,0.05007,0.10234
2017-05-12_cell_12,End of Life,990,0.8105,0.01964,0.03053,320.19,9.7761,-0.10229,-0.26131,0.05017,0.10229
2017-05-12_cell_12,End of Life,995,0.8093,0.01967,0.03062,319.43,9.7804,-0.10225,-0.26143,0.05028,0.10225
2017-05-12_cell_12,End of Life,1000,0.808,0.01969,0.03069,318.78,9.7848,-0.1022,-0.26153,0.05038,0.1022
2017-05-12_cell_12,End of Life,1005,0.8068,0.01969,0.03073,318.62,9.7901,-0.10214,-0.26153,0.05042,0.10214
2017-05-12_cell_12,End of Life,1010,0.8055,0.01972,0.03081,317.88,9.7941,-0.1021,-0.26165,0.05053,0.1021
2017-05-12_cell_12,End of Life,1015,0.8043,0.01975,0.03091,316.92,9.7976,-0.10207,-0.26182,0.05067,0.10207
2017-05-12_cell_12,End of Life,1020,0.803,0.01977,0.03099,316.26,9.8016,-0.10202,-0.26193,0.05076,0.10202
2017-05-12_cell_12,End of Life,1025,0.8018,0.0198,0.03107,315.6,9.8055,-0.10198,-0.26205,0.05086,0.10198
2017-05-12_cell_12,End of Life,1030,0.8005,0.01985,0.03121,314.24,9.8073,-0.10196,-0.26232,0.05105,0.10196
2017-05-12_cell_15,Early Life,5,0.9998,0.01629,0.01992,424.19,8.4512,-0.11833,-0.26305,0.03621,0.11833
2017-05-12_cell_15,Early Life,10,0.9994,0.0163,0.01994,424.02,8.4567,-0.11825,-0.26298,0.03624,0.11825
2017-05-12_cell_15,Early Life,15,0.9991,0.0163,0.01997,423.81,8.4632,-0.11816,-0.2629,0.03627,0.11816
